ligne defense,objectif,question;
"LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,""Il y va-t-il un contrôle (d’identité, fouille etc.) à l’entrée principale  ?""";
"LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,""Tout le monde peut-il avoir accès aux installations de l’immeuble ? Si « Non », veuillez préciser qui a accès aux installations de l’entreprise.*""";
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,A-t-on accès à l’immeuble à toutes les heures (de jour comme de nuit) ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée principale est-elle sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCPALE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée principale a-t-elle des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser les heures*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du parking dispose-t-elle d’un portail ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le portail ferme-t-il à clé/ de façon biométrique ? Préciser qui garde la clé/ le badge d’accès*.;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du parking est-elle surveillée par des agents de sécurité ?;
"LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,""Il y a-t-il un contrôle (d’identité, fouille etc.) à l’entrée du parking ?""";
"LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,""Tout le monde a-t-il accès au parking ? Si « Non », veuillez préciser qui a accès au parking. *""";
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,A-t-on accès au parking à toutes les heures (de jour comme de nuit) ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du parking est-elle sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PARKING DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du parking a-t-elle des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser les heures*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE ARRIERE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le point d’entrée de la cour arrière dispose-t-il d’un portail fermant à clé/ de façon biométrique etc. ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE ARRIERE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE ARRIERE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le point d’entrée à la cour arrière est-il surveillé par des agents de sécurité ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE ARRIERE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le point d’accès à la cour arrière est-il sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE ARRIERE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le point d’accès de la cour arrière a-t-il des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,L’entrée principale de l’entité a-t-elle une porte fermant à clé/ de façon biométrique?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,L’entrée principale de l’entité est-elle surveillée par des agents de sécurité ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,Il y a-t-il un contrôle d’identité à l’entrée principale de l’entreprise ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,Tout le monde est-il invité à pénétrer l’entreprise ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,L’accès à l’entreprise se fait-il sur prise de rendez-vous ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,L’entrée principale de de l’entreprise dispose-t-elle d’une vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE PRINCIPALE DES LOCAUX DE L’ENTREPRISE QUI EST A LA FOIS ACCES,L’entrée principale a-t-elle des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE DU REFECTOIRE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du réfectoire dispose-t-il d’une porte fermant à clé/ de façon biométrique ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE DU REFECTOIRE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,Le dispositif de fermeture fonctionne-t-il correctement?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE DU REFECTOIRE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du réfectoire dispose-t-elle d’une vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENTREE DU REFECTOIRE DE L’ENTREPRISE QUI EST A LA FOIS ACCES « ENTREE ET SORTIE »,L’entrée du réfectoire a-t-elle des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE L’ENTREE BALCON QUI FAIT A LA FOIS « ENTREE ET SORTIE »,L’entrée balcon dispose-t-elle d’une porte fermant à clé/ de façon biométrique ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE L’ENTREE BALCON QUI FAIT A LA FOIS « ENTREE ET SORTIE »,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE L’ENTREE BALCON QUI FAIT A LA FOIS « ENTREE ET SORTIE »,L’entrée balcon dispose-t-elle d’une vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE (QUI FAIT A LA FOIS «ENTREE ET SORTIE») DE L’ESPACE MENANT AUX BUREAUX,L’entrée de cet espace dispose-t-elle d’une porte fermant à clé/ de façon biométrique ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE (QUI FAIT A LA FOIS «ENTREE ET SORTIE») DE L’ESPACE MENANT AUX BUREAUX,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE (QUI FAIT A LA FOIS «ENTREE ET SORTIE») DE L’ESPACE MENANT AUX BUREAUX,L’entrée de cet espace dispose-t-elle d’une vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE (QUI FAIT A LA FOIS «ENTREE ET SORTIE») DE L’ESPACE MENANT AUX BUREAUX,Le point d’entrée de l’espace menant aux bureaux a-t-il des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE DE LA SALLE D’EAU QUI FAIT A LA FOIS « ENTREE ET SORTIE »,L’entrée de la salle d’eau dispose-t-elle d’une porte fermant à clé/ de façon biométrique ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE DE LA SALLE D’EAU QUI FAIT A LA FOIS « ENTREE ET SORTIE »,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE DE LA SALLE D’EAU QUI FAIT A LA FOIS « ENTREE ET SORTIE »,L’entrée de la salle d’eau est-elle sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE DE LA SALLE D’EAU QUI FAIT A LA FOIS « ENTREE ET SORTIE »,Le point d’entrée de la salle a-t-il des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE QUI FAIT A LA FOIS «ENTREE ET SORTIE» DU BUREAU DU DIRECTEUR GENERAL,L’entrée du bureau dispose-t-elle d’une porte fermant à clé/ de façon biométrique ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE QUI FAIT A LA FOIS «ENTREE ET SORTIE» DU BUREAU DU DIRECTEUR GENERAL,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE QUI FAIT A LA FOIS «ENTREE ET SORTIE» DU BUREAU DU DIRECTEUR GENERAL,L’entrée du bureau est-elle sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE QUI FAIT A LA FOIS «ENTREE ET SORTIE» DU BUREAU DU DIRECTEUR GENERAL,Le point d’entrée du bureau du directeur a-t-il des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE AU BUREAU DE LA RESPONSABLE DE LA COMMUNICATION QUI FAIT A LA FOIS « ENTREE ET SORTIE »,L’entrée dispose-t-elle d’une porte fermant à clé/ de façon biométrique ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE AU BUREAU DE LA RESPONSABLE DE LA COMMUNICATION QUI FAIT A LA FOIS « ENTREE ET SORTIE »,Le dispositif de fermeture fonctionne-t-il correctement ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE AU BUREAU DE LA RESPONSABLE DE LA COMMUNICATION QUI FAIT A LA FOIS « ENTREE ET SORTIE »,L’entrée du bureau est-elle sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DU POINT D’ENTREE AU BUREAU DE LA RESPONSABLE DE LA COMMUNICATION QUI FAIT A LA FOIS « ENTREE ET SORTIE »,Le point d’accès de la cour arrière a-t-il des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENSEMBLE DES FENETRES DE L’ENTREPRISE,La fenêtre dispose-t-elle protection fermant à clé/ de façon biométrique etc. ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENSEMBLE DES FENETRES DE L’ENTREPRISE,Le dispositif de fermeture fonctionne-t-il correctement ?;
"LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENSEMBLE DES FENETRES DE L’ENTREPRISE,""La fenêtre dispose-t-elle de rideaux, store etc. ?""";
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENSEMBLE DES FENETRES DE L’ENTREPRISE,La fenêtre est-elle sous vidéo surveillance ?;
LES ENTREES ET ACCES,DIAGNOSTIQUE SECURITAIRE DE L’ENSEMBLE DES FENETRES DE L’ENTREPRISE,La fenêtre a-t-elle des heures d’ouverture et de fermeture précises ? Si « Oui » veuillez préciser*;
LES ENTREES ET ACCES,DIASGNOSTIQUE SECURITAIRE DE LA GESTION ET LA MAINTENANCE DES POINTS D’ENTREES,Les employés disposent-ils chacun d’une clé/carte etc. d’accès à l’entrée principale de l’entreprise ?;
LES ENTREES ET ACCES,DIASGNOSTIQUE SECURITAIRE DE LA GESTION ET LA MAINTENANCE DES POINTS D’ENTREES,Les employés remettent-ils leurs clés/ cartes d’accès à la fin de leur quart de travail ?;
LES ENTREES ET ACCES,DIASGNOSTIQUE SECURITAIRE DE LA GESTION ET LA MAINTENANCE DES POINTS D’ENTREES,L’entreprise dispose-t-elle d’un local fermant à clé pour ranger toutes les clés/ cartes d’accès des installations lorsqu’elles ne sont pas utilisées ?;
LES ENTREES ET ACCES,DIASGNOSTIQUE SECURITAIRE DE LA GESTION ET LA MAINTENANCE DES POINTS D’ENTREES,Avez-vous un plan de récupération des clé/cartes d’accès perdues ?;
LES ENTREES ET ACCES,DIASGNOSTIQUE SECURITAIRE DE LA GESTION ET LA MAINTENANCE DES POINTS D’ENTREES,Les codes de cadenas à combinaison et les verrous à clés importants sont-ils changés régulièrement ? Précisez la fréquence*.;
LES ENTREES ET ACCES,DIASGNOSTIQUE SECURITAIRE DE LA GESTION ET LA MAINTENANCE DES POINTS D’ENTREES,Les Bloc-portes et fenêtres sont-ils au bénéfice de maintenance régulières ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Le principal point de raccordement au réseau électrique est-il dans le périmètre intérieur de l’entreprise ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Le principal point de raccordement au réseau électrique est-il protégé (niche ou local dédié) ?;
"QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,""Le dispositif électrique visible (câbles, prises etc.) de votre entreprise est-il bien isolé ?""";
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Le système électrique de votre entreprise bénéficie-t-il d’un dispositif antifoudre ?;
"QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,""Votre entreprise dispose-t-elle de générateur auxiliaire (groupe électrogène, énergie solaire etc.) en cas de panne du générateur électrique principal pour quelque raison que ce soit ?""";
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Le générateur auxiliaire produit-il assez d’énergie pour alimenter tout le site correctement ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Le générateur auxiliaire est-il protégé des intempéries et/ou des intrusions ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,La mise en marche et l’arrêt du générateur auxiliaire se fait-il de manière automatique préférentiellement ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Il y a-t-il une maintenance régulière du générateur auxiliaire ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Les installations du réseau électrique sont-elles l’objet de maintenance ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Les installations du réseau électrique sont-elles sous vidéo surveillance ?;
QUATRIEME LIGNE DE DEFENSE (PROTECTION DE L’ESPACE NEVRALGIQUE ET PROCEDURES),DIAGNOSTIQUE SECURITAIRE DE L’INSTALLATION ELECTRIQUE,Le point de raccordement principal et le groupe électrogène (les panneaux solaires) sont-ils protégés par des agents de sécurité ?;
